epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86056,0.68681,3.26147,1.2571,0.98014,0.11765,0.42018,0.29766,0.58533,2.88666,1.18407,0.00032381,0.00032381,0.00032381
2,10.3175,0.64623,2.35489,1.1863,0.36506,0.80188,0.60149,0.47721,0.70455,1.72299,1.26609,0.000652806,0.000652806,0.000652806
3,14.7744,0.68664,2.07323,1.19878,0.3545,0.85391,0.62561,0.46616,0.76838,1.89843,1.30388,0.000977402,0.000977402,0.000977402
4,19.1774,0.63566,1.93186,1.15948,0.54773,0.77077,0.72382,0.61442,0.61214,1.70823,1.17993,0.0009802,0.0009802,0.0009802
5,23.6506,0.57786,1.8238,1.1064,0.49166,0.75545,0.66433,0.5719,0.54959,1.84124,1.08325,0.0009736,0.0009736,0.0009736
6,28.0323,0.61689,1.68151,1.10904,0.51288,0.9,0.78649,0.66773,0.57255,1.32812,1.14804,0.000967,0.000967,0.000967
7,32.4078,0.56351,1.60524,1.09149,0.80583,0.66369,0.74375,0.63918,0.55513,1.44142,1.11391,0.0009604,0.0009604,0.0009604
8,36.7252,0.56127,1.55091,1.08617,0.67609,0.66015,0.72803,0.62148,0.54332,1.83093,1.09791,0.0009538,0.0009538,0.0009538
9,41.1082,0.54251,1.41723,1.06272,0.84938,0.6958,0.78709,0.66376,0.56913,1.16736,1.15495,0.0009472,0.0009472,0.0009472
10,45.5651,0.56238,1.4273,1.09689,0.63392,0.76577,0.79812,0.6947,0.52338,1.11785,1.11128,0.0009406,0.0009406,0.0009406
11,49.9847,0.51354,1.33201,1.05537,0.7544,0.81386,0.81861,0.73394,0.49635,1.07771,1.05894,0.000934,0.000934,0.000934
12,54.3189,0.51011,1.31726,1.05693,0.73814,0.87613,0.89311,0.78766,0.49748,0.96526,1.0454,0.0009274,0.0009274,0.0009274
13,58.7195,0.50846,1.34324,1.05248,0.60291,0.97738,0.84833,0.74675,0.51811,0.88223,1.07416,0.0009208,0.0009208,0.0009208
14,63.2216,0.53704,1.23785,1.04984,0.64648,0.66355,0.71254,0.61121,0.55842,1.59065,1.08684,0.0009142,0.0009142,0.0009142
15,67.6211,0.50169,1.20078,1.05468,0.57464,0.85926,0.81579,0.71058,0.55019,0.94216,1.08262,0.0009076,0.0009076,0.0009076
16,72.0467,0.50129,1.15332,1.05394,0.73584,0.89977,0.8712,0.77499,0.52649,0.89316,1.02261,0.000901,0.000901,0.000901
17,76.3815,0.49715,1.11078,1.01592,0.64076,0.87231,0.85754,0.76622,0.48523,0.97503,1.02627,0.0008944,0.0008944,0.0008944
18,80.7855,0.474,1.00533,1.01036,0.57632,0.695,0.72963,0.64688,0.49491,1.56937,1.0405,0.0008878,0.0008878,0.0008878
19,85.1783,0.48141,1.02606,1.02101,0.89169,0.70783,0.80562,0.73091,0.44487,0.84636,0.99982,0.0008812,0.0008812,0.0008812
20,89.648,0.50065,1.02946,1.00734,0.75491,0.78738,0.85878,0.77522,0.47006,0.92204,0.99864,0.0008746,0.0008746,0.0008746
21,94.0029,0.43359,0.94735,0.99985,0.78564,0.93875,0.90741,0.83178,0.46085,0.73075,0.99596,0.000868,0.000868,0.000868
22,98.446,0.45816,0.91506,0.98923,0.90521,0.74568,0.88951,0.79748,0.47984,0.72732,1.02511,0.0008614,0.0008614,0.0008614
23,102.864,0.44673,0.91026,0.99596,0.75086,0.80269,0.84416,0.74962,0.52572,0.95372,1.02471,0.0008548,0.0008548,0.0008548
24,107.175,0.48051,0.9401,1.02582,0.7848,0.86173,0.88072,0.80491,0.43258,0.67259,0.98056,0.0008482,0.0008482,0.0008482
25,111.674,0.43641,0.9236,0.99994,0.72822,0.87596,0.85187,0.783,0.46532,0.72484,1.00068,0.0008416,0.0008416,0.0008416
26,116.164,0.42745,0.91779,0.99514,0.71497,0.93628,0.87556,0.79346,0.48001,0.76444,0.97922,0.000835,0.000835,0.000835
27,120.424,0.41844,0.90993,0.99656,0.74279,0.80791,0.93491,0.86847,0.46708,0.84217,0.99589,0.0008284,0.0008284,0.0008284
28,124.832,0.41886,0.87363,0.9977,0.90987,0.86459,0.96742,0.88392,0.46797,0.63736,1.01533,0.0008218,0.0008218,0.0008218
29,129.227,0.44578,0.85491,1.00501,0.81622,0.88995,0.91238,0.83427,0.45607,0.59088,1.03176,0.0008152,0.0008152,0.0008152
30,133.547,0.46387,0.86055,1.00235,0.80878,0.89459,0.92578,0.85423,0.43478,0.57697,0.97523,0.0008086,0.0008086,0.0008086
31,137.802,0.42416,0.80945,0.98192,0.69732,0.88718,0.91147,0.82334,0.45854,0.76472,0.97998,0.000802,0.000802,0.000802
32,142.064,0.43006,0.81359,0.99761,0.82494,0.95089,0.93928,0.85953,0.46025,0.57579,1.003,0.0007954,0.0007954,0.0007954
33,146.317,0.43994,0.81522,0.98364,0.85928,0.83464,0.91063,0.84036,0.442,0.71207,0.97089,0.0007888,0.0007888,0.0007888
34,150.579,0.42491,0.81608,0.98403,0.84117,0.95684,0.96716,0.86125,0.46338,0.61485,0.98066,0.0007822,0.0007822,0.0007822
35,154.982,0.43445,0.78928,0.99035,0.68858,0.84718,0.83914,0.76423,0.42937,0.80132,0.97086,0.0007756,0.0007756,0.0007756
36,159.271,0.37011,0.76754,0.96354,0.84001,0.82467,0.91697,0.82759,0.44394,0.77523,0.97407,0.000769,0.000769,0.000769
37,163.507,0.44099,0.71448,0.99252,0.80935,0.92881,0.93131,0.86017,0.41817,0.64136,0.96302,0.0007624,0.0007624,0.0007624
38,167.751,0.41405,0.69422,0.98629,0.94967,0.91457,0.98434,0.90391,0.44673,0.55584,0.97145,0.0007558,0.0007558,0.0007558
39,172.454,0.40658,0.67455,0.98731,0.88765,0.87465,0.92324,0.82461,0.46123,0.57086,1.00318,0.0007492,0.0007492,0.0007492
40,176.903,0.41573,0.71303,0.99763,0.64216,0.84175,0.86013,0.7769,0.45477,0.94967,0.97474,0.0007426,0.0007426,0.0007426
41,181.229,0.45028,0.66206,0.99024,0.92833,0.91802,0.97064,0.88978,0.44522,0.58777,0.96354,0.000736,0.000736,0.000736
42,185.614,0.40227,0.65162,0.977,0.9629,0.84293,0.95583,0.87372,0.43037,0.57514,1.00444,0.0007294,0.0007294,0.0007294
43,189.947,0.38292,0.61765,0.97277,0.94706,0.89539,0.97893,0.90796,0.412,0.54295,0.9689,0.0007228,0.0007228,0.0007228
44,194.413,0.40382,0.6608,0.9705,0.87503,0.96732,0.97027,0.89357,0.42457,0.47836,0.97078,0.0007162,0.0007162,0.0007162
45,198.781,0.39958,0.67704,0.96554,0.96463,0.91652,0.99009,0.92675,0.42276,0.46464,0.97939,0.0007096,0.0007096,0.0007096
46,203.121,0.39648,0.65045,0.96879,0.82793,0.93949,0.98747,0.91172,0.41854,0.54844,0.96112,0.000703,0.000703,0.000703
47,207.476,0.40055,0.62149,0.98489,0.89441,0.94476,0.9636,0.89692,0.37889,0.4956,0.94028,0.0006964,0.0006964,0.0006964
48,211.806,0.4001,0.56682,0.97797,0.8981,0.94253,0.98571,0.91814,0.39846,0.43581,0.93913,0.0006898,0.0006898,0.0006898
49,216.205,0.39665,0.59175,0.97603,0.83234,0.90992,0.9866,0.92349,0.41162,0.53766,0.97235,0.0006832,0.0006832,0.0006832
50,220.582,0.36352,0.5209,0.96473,0.86376,0.97613,0.98534,0.91627,0.42302,0.48575,0.98959,0.0006766,0.0006766,0.0006766
51,224.892,0.38083,0.5832,0.95763,0.88037,0.95708,0.96279,0.88314,0.41179,0.45316,0.96392,0.00067,0.00067,0.00067
52,229.216,0.37425,0.55221,0.96853,0.80505,0.93586,0.94899,0.87861,0.38867,0.55121,0.93483,0.0006634,0.0006634,0.0006634
53,233.685,0.37759,0.5863,0.96392,0.91144,0.93491,0.98958,0.91653,0.39877,0.43792,0.93667,0.0006568,0.0006568,0.0006568
54,238.136,0.37834,0.53645,0.96932,0.87846,0.88423,0.97018,0.90497,0.3763,0.49288,0.93317,0.0006502,0.0006502,0.0006502
55,242.731,0.38797,0.54327,0.95484,0.89568,0.94019,0.9878,0.92596,0.41044,0.44192,0.97185,0.0006436,0.0006436,0.0006436
56,247.254,0.35855,0.53792,0.95713,0.96064,0.90628,0.98872,0.9272,0.40546,0.45678,0.97349,0.000637,0.000637,0.000637
57,251.641,0.3526,0.56708,0.9521,0.90167,0.87825,0.95611,0.88947,0.42127,0.54011,0.95536,0.0006304,0.0006304,0.0006304
58,256.067,0.37823,0.53541,0.9423,0.86625,0.90874,0.95074,0.89369,0.38294,0.48767,0.95951,0.0006238,0.0006238,0.0006238
