epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04864,0.68826,3.23905,1.18061,0.00824,1,0.56788,0.49788,0.39969,3.30858,0.97694,0.00017,0.00017,0.00017
2,7.17035,0.57825,2.36513,1.08757,0.69891,0.57043,0.56541,0.48937,0.51436,2.75382,1.02414,0.00034769,0.00034769,0.00034769
3,10.428,0.61205,1.8713,1.06153,0.61273,0.54352,0.62226,0.53034,0.56146,1.69673,1.05433,0.000523004,0.000523004,0.000523004
4,13.5545,0.52634,1.62445,1.02445,0.77422,0.63,0.70047,0.58565,0.54888,1.33374,1.03369,0.000695942,0.000695942,0.000695942
5,16.657,0.53762,1.54369,1.02175,0.66775,0.65747,0.67764,0.57697,0.62851,1.45528,1.11473,0.000866504,0.000866504,0.000866504
6,19.7993,0.56412,1.51073,1.02316,0.47497,0.78412,0.84965,0.73061,0.57464,2.52234,1.08037,0.000967,0.000967,0.000967
7,22.9072,0.50176,1.39193,1.00424,0.5128,0.78913,0.7344,0.62843,0.56976,1.34812,1.04761,0.0009604,0.0009604,0.0009604
8,26.097,0.51083,1.34356,1.01434,0.67258,0.77367,0.71874,0.61943,0.54814,1.19695,1.02006,0.0009538,0.0009538,0.0009538
9,29.2353,0.47169,1.21787,0.98428,0.65006,0.68462,0.65912,0.54488,0.60632,2.87681,1.07905,0.0009472,0.0009472,0.0009472
10,32.4694,0.50345,1.21499,1.01195,0.62075,0.7022,0.79763,0.69741,0.59228,1.25886,1.10855,0.0009406,0.0009406,0.0009406
11,35.6594,0.5064,1.17217,0.99542,0.65361,0.89583,0.827,0.7281,0.55472,1.01301,1.04802,0.000934,0.000934,0.000934
12,38.8506,0.52924,1.14034,1.00551,0.86301,0.76736,0.84242,0.72005,0.61515,0.99028,1.0924,0.0009274,0.0009274,0.0009274
13,42.0976,0.4814,1.05862,0.97801,0.78371,0.80765,0.81836,0.70913,0.56453,1.05573,1.09426,0.0009208,0.0009208,0.0009208
14,45.311,0.49564,0.98075,0.98688,0.91713,0.71969,0.87211,0.78114,0.50783,0.84814,1.00424,0.0009142,0.0009142,0.0009142
15,48.4674,0.53008,0.99246,0.99064,0.81858,0.62196,0.68193,0.59455,0.50988,1.30453,1.0109,0.0009076,0.0009076,0.0009076
16,51.6997,0.46363,0.965,0.97895,0.81172,0.87235,0.8699,0.81067,0.45651,0.81952,0.97119,0.000901,0.000901,0.000901
17,54.8701,0.47433,0.90106,0.97012,0.82962,0.78606,0.89738,0.81864,0.45773,0.77188,0.9799,0.0008944,0.0008944,0.0008944
18,57.9996,0.48535,0.88174,0.96599,0.74816,0.84483,0.90135,0.82279,0.48988,0.97463,0.9787,0.0008878,0.0008878,0.0008878
