epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99915,0.82809,5.6208,1.31165,0.49674,0.43543,0.56679,0.49778,0.51133,8.70735,1.03443,0.00017,0.00017,0.00017
2,9.69625,0.54698,1.61472,1.06193,0.71497,0.78401,0.77055,0.66515,0.56922,3.33286,1.09545,0.00034769,0.00034769,0.00034769
3,14.2578,0.57313,1.33772,1.03203,0.41714,0.83891,0.69428,0.60506,0.51138,3.84178,1.06057,0.000523004,0.000523004,0.000523004
4,18.7448,0.51739,1.08287,1.01605,0.57413,0.72061,0.78747,0.6711,0.57817,2.35308,1.1091,0.000695942,0.000695942,0.000695942
5,23.2593,0.54202,1.05734,1.02518,0.56769,0.8591,0.7931,0.63904,0.6544,1.73964,1.12589,0.000866504,0.000866504,0.000866504
6,27.754,0.58594,1.04543,1.03633,0.39577,0.72666,0.50997,0.4113,0.87484,6.97271,1.40934,0.000967,0.000967,0.000967
7,32.209,0.52498,0.9041,1.01639,0.7239,0.61765,0.63506,0.47935,0.74808,2.60027,1.21114,0.0009604,0.0009604,0.0009604
8,36.6686,0.56554,0.9289,1.03338,0.82386,0.38126,0.38045,0.29541,0.63228,3.77246,1.10674,0.0009538,0.0009538,0.0009538
9,41.1322,0.52595,0.89527,1.0025,0.79058,0.55998,0.69383,0.55218,0.63514,1.53235,1.14402,0.0009472,0.0009472,0.0009472
10,45.5909,0.57581,0.90552,1.04774,0.67092,0.69227,0.77772,0.63813,0.63011,1.19993,1.10599,0.0009406,0.0009406,0.0009406
11,50.0476,0.54305,0.84704,1.00286,0.86755,0.65714,0.83041,0.73202,0.55242,1.24395,1.05409,0.000934,0.000934,0.000934
12,54.5413,0.55104,0.8544,1.00641,0.67905,0.66053,0.61953,0.50677,0.70895,2.08328,1.17822,0.0009274,0.0009274,0.0009274
13,58.9758,0.51371,0.83202,0.98426,0.8206,0.59204,0.80981,0.69088,0.62255,1.3373,1.09468,0.0009208,0.0009208,0.0009208
14,63.4209,0.50804,0.74578,0.98934,0.75727,0.69201,0.82157,0.70651,0.52922,1.11796,1.03721,0.0009142,0.0009142,0.0009142
15,67.8708,0.52555,0.76993,0.98628,0.58109,0.61286,0.62525,0.44096,1.21174,1.79131,1.87456,0.0009076,0.0009076,0.0009076
16,72.3514,0.46548,0.72302,0.97737,0.55667,0.9022,0.74833,0.65801,0.55832,0.90023,1.03956,0.000901,0.000901,0.000901
17,76.8162,0.4921,0.67192,0.97691,0.89981,0.67058,0.86743,0.77716,0.51756,0.94986,0.98137,0.0008944,0.0008944,0.0008944
18,81.3054,0.50411,0.63999,0.97193,0.83151,0.80095,0.87542,0.77132,0.5329,0.76871,0.99441,0.0008878,0.0008878,0.0008878
19,85.9784,0.45632,0.66592,0.97208,0.84168,0.68275,0.77646,0.68011,0.49359,0.80539,0.98326,0.0008812,0.0008812,0.0008812
20,90.7914,0.49089,0.73997,0.96788,0.65574,0.91071,0.82268,0.74058,0.4875,0.63035,0.98051,0.0008746,0.0008746,0.0008746
