epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9395,0.67254,3.26973,1.17272,0.00808,1,0.44537,0.36051,0.45942,3.27463,1.02521,0.00017,0.00017,0.00017
2,7.02954,0.5536,2.45452,1.06964,0.70811,0.1462,0.58963,0.50047,0.56085,2.22854,1.08102,0.00034769,0.00034769,0.00034769
3,10.3102,0.61935,1.85425,1.06376,0.67785,0.55309,0.68014,0.53831,0.67865,1.61667,1.24195,0.000523004,0.000523004,0.000523004
4,13.4807,0.51942,1.57693,1.01552,0.49613,0.87182,0.70037,0.57426,0.61437,1.37002,1.09326,0.000695942,0.000695942,0.000695942
5,16.6519,0.52799,1.50568,1.01057,0.56359,0.7095,0.69023,0.58692,0.60598,1.44324,1.07685,0.000866504,0.000866504,0.000866504
6,19.8245,0.58406,1.50762,1.03391,0.85496,0.61797,0.71869,0.59635,0.62383,2.29425,1.10074,0.000967,0.000967,0.000967
7,22.9707,0.52891,1.37788,1.02157,0.69012,0.88109,0.79766,0.67337,0.5552,1.45695,1.0595,0.0009604,0.0009604,0.0009604
8,26.2139,0.5105,1.32651,1.00565,0.80487,0.60844,0.70196,0.59326,0.58401,1.27663,1.0557,0.0009538,0.0009538,0.0009538
9,29.4308,0.48273,1.20008,0.98902,0.80858,0.72005,0.78634,0.65486,0.56481,1.11352,1.06299,0.0009472,0.0009472,0.0009472
10,32.7002,0.52486,1.29126,1.02709,0.55729,0.82753,0.86724,0.76453,0.54817,1.13026,1.0329,0.0009406,0.0009406,0.0009406
11,35.745,0.49915,1.19628,0.98669,0.54141,0.81227,0.86654,0.76172,0.59932,1.26566,1.06441,0.000934,0.000934,0.000934
12,38.9814,0.53698,1.16756,0.99497,0.54401,0.86757,0.84384,0.74651,0.57041,1.1114,1.03395,0.0009274,0.0009274,0.0009274
13,42.2246,0.4984,1.07389,0.97691,0.63908,0.8798,0.87982,0.79267,0.53377,0.90822,1.04008,0.0009208,0.0009208,0.0009208
14,45.4306,0.49339,1.0056,0.98918,0.61752,0.82722,0.83725,0.73746,0.53891,1.01563,1.02937,0.0009142,0.0009142,0.0009142
15,48.5693,0.53647,1.00836,0.9932,0.71159,0.9312,0.88192,0.80237,0.47679,0.82068,0.9906,0.0009076,0.0009076,0.0009076
16,51.7949,0.45181,0.9533,0.96767,0.64784,0.82164,0.77406,0.69402,0.49084,0.92744,1.00645,0.000901,0.000901,0.000901
17,54.9701,0.4582,0.92113,0.95701,0.6322,0.75537,0.77284,0.68788,0.51213,1.10981,0.98079,0.0008944,0.0008944,0.0008944
18,58.1094,0.47271,0.92672,0.95576,0.73649,0.86173,0.88879,0.79313,0.50564,0.85498,0.98342,0.0008878,0.0008878,0.0008878
19,61.3555,0.43917,0.91115,0.95865,0.75216,0.84776,0.89183,0.79337,0.49282,0.77094,0.96666,0.0008812,0.0008812,0.0008812
20,64.5515,0.45557,0.95606,0.95287,0.72166,0.80702,0.87664,0.77594,0.53644,0.84797,1.0551,0.0008746,0.0008746,0.0008746
21,67.7164,0.46391,0.87319,0.96722,0.57974,0.93834,0.82251,0.73875,0.49964,0.8104,0.97901,0.000868,0.000868,0.000868
22,70.9662,0.4438,0.86161,0.9508,0.58988,0.69362,0.74989,0.67443,0.48998,1.36902,0.9889,0.0008614,0.0008614,0.0008614
23,74.0678,0.42697,0.76326,0.94711,0.6942,0.88569,0.87293,0.77854,0.50256,0.7491,0.99221,0.0008548,0.0008548,0.0008548
24,77.3286,0.42305,0.78792,0.95722,0.76255,0.91328,0.92358,0.83794,0.46581,0.82515,0.95772,0.0008482,0.0008482,0.0008482
25,80.481,0.45548,0.80673,0.95907,0.75513,0.84989,0.9078,0.82853,0.44621,0.79462,0.95353,0.0008416,0.0008416,0.0008416
26,83.7374,0.46209,0.8424,0.95421,0.70606,0.88411,0.80212,0.73745,0.42282,0.81501,0.94281,0.000835,0.000835,0.000835
27,86.8829,0.44927,0.75526,0.95571,0.65715,0.9288,0.83764,0.77316,0.44527,0.69798,0.97007,0.0008284,0.0008284,0.0008284
28,90.0693,0.42556,0.77786,0.94744,0.77109,0.89192,0.91523,0.84132,0.44509,0.72219,0.94762,0.0008218,0.0008218,0.0008218
29,93.2489,0.41801,0.80471,0.95425,0.75014,0.94049,0.86685,0.81292,0.41971,0.93488,0.96614,0.0008152,0.0008152,0.0008152
30,96.4682,0.43984,0.74569,0.94646,0.84218,0.86228,0.93554,0.86693,0.42317,0.63808,0.94633,0.0008086,0.0008086,0.0008086
31,99.6439,0.38857,0.70136,0.93515,0.85253,0.68505,0.89985,0.82267,0.47045,0.81149,0.99289,0.000802,0.000802,0.000802
32,102.797,0.45981,0.78332,0.97761,0.80348,0.87095,0.94559,0.87638,0.43488,0.60762,0.9684,0.0007954,0.0007954,0.0007954
33,105.947,0.4701,0.69775,0.94847,0.89969,0.91129,0.94846,0.86764,0.43504,0.58843,0.97218,0.0007888,0.0007888,0.0007888
34,109.115,0.40781,0.66719,0.93872,0.82539,0.84492,0.94806,0.87539,0.45652,0.76255,0.9724,0.0007822,0.0007822,0.0007822
35,112.22,0.39266,0.65207,0.94206,0.92328,0.86177,0.95423,0.86598,0.47273,0.63927,0.9928,0.0007756,0.0007756,0.0007756
36,115.509,0.39011,0.68964,0.9332,0.9163,0.93136,0.96461,0.85785,0.46929,0.59832,0.96296,0.000769,0.000769,0.000769
37,118.649,0.42671,0.65087,0.94444,0.88909,0.90012,0.97481,0.90234,0.44344,0.52057,0.95112,0.0007624,0.0007624,0.0007624
38,121.972,0.40644,0.64958,0.93636,0.81649,0.89757,0.96542,0.88744,0.44282,0.53641,0.94438,0.0007558,0.0007558,0.0007558
39,125.248,0.37402,0.60857,0.94042,0.86338,0.807,0.92313,0.86007,0.3917,0.74006,0.92264,0.0007492,0.0007492,0.0007492
40,128.389,0.40242,0.58018,0.94968,0.95685,0.96288,0.98978,0.93488,0.37325,0.42317,0.91435,0.0007426,0.0007426,0.0007426
41,131.623,0.39283,0.57106,0.93066,0.90173,0.94214,0.96174,0.89702,0.38878,0.48416,0.92578,0.000736,0.000736,0.000736
42,134.842,0.38861,0.56838,0.94287,0.91291,0.94404,0.97385,0.90361,0.42137,0.48456,0.95179,0.0007294,0.0007294,0.0007294
43,137.978,0.37109,0.54552,0.93137,0.87355,0.89691,0.95289,0.89122,0.39213,0.60215,0.91462,0.0007228,0.0007228,0.0007228
44,141.213,0.40017,0.57216,0.92317,0.87565,0.92969,0.95402,0.8957,0.38907,0.54576,0.92795,0.0007162,0.0007162,0.0007162
45,144.326,0.38732,0.52533,0.93674,0.86012,0.96614,0.96859,0.90702,0.37634,0.48626,0.92023,0.0007096,0.0007096,0.0007096
46,147.48,0.39062,0.55967,0.937,0.74004,0.86521,0.88901,0.83825,0.39226,0.79134,0.94644,0.000703,0.000703,0.000703
47,150.632,0.3864,0.62392,0.93485,0.91517,0.93948,0.98629,0.93615,0.36094,0.46388,0.91489,0.0006964,0.0006964,0.0006964
48,153.827,0.38393,0.57233,0.94123,0.83067,0.93501,0.95781,0.90055,0.41089,0.59797,0.93081,0.0006898,0.0006898,0.0006898
49,156.999,0.38095,0.5884,0.92857,0.83244,0.77265,0.83102,0.77754,0.38104,0.65155,0.92213,0.0006832,0.0006832,0.0006832
50,160.141,0.37759,0.51391,0.92725,0.8162,0.83834,0.8852,0.8339,0.35993,0.73899,0.91228,0.0006766,0.0006766,0.0006766
51,163.292,0.3559,0.49057,0.91546,0.83594,0.91582,0.94715,0.89064,0.38063,0.6405,0.93773,0.00067,0.00067,0.00067
52,166.539,0.34373,0.4782,0.91817,0.91974,0.92618,0.9905,0.9192,0.41161,0.47872,0.94245,0.0006634,0.0006634,0.0006634
53,169.704,0.36387,0.46901,0.917,0.89206,0.93414,0.98763,0.92193,0.37419,0.42756,0.93509,0.0006568,0.0006568,0.0006568
54,172.961,0.3535,0.47582,0.92296,0.93252,0.86812,0.96549,0.90617,0.38171,0.48044,0.92834,0.0006502,0.0006502,0.0006502
55,176.132,0.36614,0.48975,0.91145,0.92318,0.95043,0.97098,0.91104,0.38825,0.41988,0.9305,0.0006436,0.0006436,0.0006436
56,179.354,0.34765,0.46123,0.92196,0.82749,0.95048,0.96088,0.89446,0.41258,0.50307,0.93223,0.000637,0.000637,0.000637
57,182.619,0.3488,0.46167,0.91899,0.83751,0.965,0.97374,0.90934,0.39115,0.49439,0.91079,0.0006304,0.0006304,0.0006304
58,185.884,0.37766,0.4575,0.91511,0.93377,0.94879,0.96568,0.90378,0.38467,0.42286,0.90445,0.0006238,0.0006238,0.0006238
59,189.001,0.33875,0.44431,0.90398,0.86991,0.90825,0.97423,0.90077,0.39061,0.49359,0.92169,0.0006172,0.0006172,0.0006172
60,192.221,0.39026,0.48519,0.93115,0.87316,0.87022,0.95789,0.89253,0.41088,0.58038,0.92241,0.0006106,0.0006106,0.0006106
61,195.307,0.35815,0.43938,0.91665,0.95202,0.95827,0.99108,0.91292,0.42791,0.41166,0.94525,0.000604,0.000604,0.000604
62,198.472,0.36618,0.44339,0.92802,0.89786,0.9588,0.98114,0.9226,0.36539,0.43875,0.89384,0.0005974,0.0005974,0.0005974
63,201.642,0.35728,0.45452,0.91319,0.94814,0.86165,0.97211,0.91011,0.38471,0.52694,0.91415,0.0005908,0.0005908,0.0005908
64,204.85,0.35635,0.4533,0.9122,0.87872,0.87118,0.9366,0.89004,0.36351,0.59153,0.91923,0.0005842,0.0005842,0.0005842
