epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86983,0.77781,3.8847,1.31872,0.55526,0.57069,0.50938,0.41136,0.63065,5.70297,1.14414,0.00032381,0.00032381,0.00032381
2,13.1379,0.64405,2.02337,1.17367,0.44747,0.79008,0.70292,0.56408,0.72933,2.51095,1.43256,0.000652806,0.000652806,0.000652806
3,19.4697,0.64132,1.56432,1.15713,0.67516,0.63251,0.78051,0.62622,0.75791,2.0092,1.36042,0.000977402,0.000977402,0.000977402
4,25.672,0.61078,1.3346,1.13721,0.56299,0.69549,0.69422,0.50812,0.75932,2.18666,1.50466,0.0009802,0.0009802,0.0009802
5,31.8105,0.58929,1.26275,1.10484,0.8766,0.53293,0.7444,0.57122,0.81684,1.49943,1.31595,0.0009736,0.0009736,0.0009736
6,37.8429,0.61481,1.16066,1.10849,0.76529,0.60568,0.70453,0.57472,0.63787,1.17862,1.1948,0.000967,0.000967,0.000967
7,43.6425,0.57044,1.06539,1.08132,0.63614,0.90686,0.83912,0.7414,0.54976,0.95274,1.12173,0.0009604,0.0009604,0.0009604
8,49.4953,0.57492,1.03111,1.09198,0.73467,0.60772,0.73553,0.60065,0.61456,1.03182,1.181,0.0009538,0.0009538,0.0009538
9,55.2844,0.54169,0.9855,1.06374,0.58765,0.80183,0.79687,0.6768,0.63838,1.20151,1.17063,0.0009472,0.0009472,0.0009472
10,61.0853,0.57375,0.96534,1.1035,0.61705,0.83823,0.80803,0.69857,0.56784,1.02604,1.15524,0.0009406,0.0009406,0.0009406
11,66.8687,0.53598,0.95264,1.06373,0.6863,0.66864,0.80446,0.6916,0.61028,1.21993,1.18725,0.000934,0.000934,0.000934
12,72.6555,0.5545,0.93187,1.08075,0.72878,0.95661,0.87655,0.78252,0.53102,0.75839,1.12237,0.0009274,0.0009274,0.0009274
13,78.6041,0.53394,0.95442,1.05601,0.65508,0.90014,0.87157,0.77353,0.5305,0.79844,1.06503,0.0009208,0.0009208,0.0009208
14,84.3945,0.54101,0.86797,1.07623,0.56664,0.76667,0.74611,0.66501,0.52863,1.0258,1.06092,0.0009142,0.0009142,0.0009142
15,90.1887,0.50027,0.81342,1.05395,0.72327,0.84597,0.8755,0.75918,0.52005,0.80409,1.03962,0.0009076,0.0009076,0.0009076
16,95.9836,0.54485,0.86137,1.07795,0.6604,0.97491,0.83838,0.74676,0.48621,0.64594,1.03057,0.000901,0.000901,0.000901
17,101.776,0.51667,0.81822,1.02599,0.70048,0.79951,0.85819,0.77236,0.46671,0.77815,1.00585,0.0008944,0.0008944,0.0008944
18,107.58,0.4947,0.77133,1.01285,0.65371,0.91667,0.85636,0.76307,0.5275,0.66925,1.07254,0.0008878,0.0008878,0.0008878
19,113.373,0.48774,0.77363,1.026,0.61827,0.88434,0.81072,0.71857,0.48261,0.7186,1.04777,0.0008812,0.0008812,0.0008812
20,119.153,0.51464,0.80908,1.00145,0.7845,0.92251,0.86406,0.78087,0.48354,0.6614,1.04383,0.0008746,0.0008746,0.0008746
21,124.966,0.4417,0.71315,1.00414,0.72794,0.89461,0.89509,0.81477,0.45019,0.6801,0.99457,0.000868,0.000868,0.000868
22,130.78,0.4819,0.72577,0.99764,0.63715,0.86743,0.80934,0.73225,0.4817,0.90054,1.03254,0.0008614,0.0008614,0.0008614
23,136.607,0.46661,0.70296,1.00522,0.65601,0.98718,0.8744,0.79386,0.46211,0.67919,0.98946,0.0008548,0.0008548,0.0008548
24,142.548,0.49978,0.72657,1.03667,0.67094,0.95385,0.8825,0.80897,0.45264,0.55725,0.98729,0.0008482,0.0008482,0.0008482
25,148.318,0.45384,0.70341,1.0024,0.74192,0.90576,0.81842,0.73608,0.46325,0.65475,1.01165,0.0008416,0.0008416,0.0008416
26,154.135,0.44225,0.7645,1.00308,0.70359,0.78717,0.79681,0.72491,0.43241,0.83772,0.98809,0.000835,0.000835,0.000835
27,159.905,0.422,0.74007,0.99066,0.59203,0.79949,0.81907,0.75637,0.42571,1.03198,0.99441,0.0008284,0.0008284,0.0008284
28,165.703,0.42973,0.69983,1.00066,0.81923,0.9902,0.90277,0.81089,0.46062,0.5701,0.98658,0.0008218,0.0008218,0.0008218
29,171.509,0.4336,0.64091,0.99651,0.81015,0.92325,0.88533,0.80899,0.4506,0.54103,0.9997,0.0008152,0.0008152,0.0008152
30,177.321,0.44156,0.65013,0.97752,0.64547,0.89195,0.82279,0.75798,0.42846,0.58022,0.99054,0.0008086,0.0008086,0.0008086
31,183.101,0.41531,0.66725,0.97444,0.69203,0.93634,0.89123,0.80986,0.43415,0.70274,0.954,0.000802,0.000802,0.000802
32,188.881,0.41935,0.65984,0.99096,0.67986,0.95889,0.85615,0.79032,0.42639,0.60451,0.9628,0.0007954,0.0007954,0.0007954
33,194.675,0.43574,0.66852,0.97573,0.68724,0.96142,0.8996,0.81209,0.43552,0.58902,0.96909,0.0007888,0.0007888,0.0007888
34,200.57,0.44628,0.69223,0.98023,0.81142,0.91318,0.90702,0.8383,0.42131,0.53832,0.95752,0.0007822,0.0007822,0.0007822
35,206.39,0.44368,0.63607,0.98144,0.71281,0.88545,0.87317,0.79615,0.43796,0.52574,0.98818,0.0007756,0.0007756,0.0007756
36,212.174,0.37567,0.59716,0.95317,0.62519,0.88433,0.81556,0.74287,0.44651,0.7226,0.99277,0.000769,0.000769,0.000769
37,217.983,0.43207,0.6087,0.98711,0.72,0.88182,0.87367,0.80787,0.41421,0.61001,0.97604,0.0007624,0.0007624,0.0007624
38,223.76,0.41054,0.58111,0.98359,0.75849,0.884,0.87397,0.80289,0.41459,0.51407,0.96322,0.0007558,0.0007558,0.0007558
39,229.529,0.40575,0.59301,0.98598,0.73865,0.90701,0.85183,0.76791,0.45555,0.56575,1.01994,0.0007492,0.0007492,0.0007492
40,235.342,0.39705,0.61436,0.98468,0.70548,0.95686,0.872,0.81227,0.41426,0.54014,0.96836,0.0007426,0.0007426,0.0007426
41,241.127,0.42787,0.57598,0.98084,0.75903,0.92353,0.87301,0.81192,0.4115,0.50751,0.95385,0.000736,0.000736,0.000736
42,246.924,0.41399,0.57981,0.97176,0.71528,0.89572,0.86275,0.80322,0.40253,0.58284,0.96912,0.0007294,0.0007294,0.0007294
43,252.713,0.39082,0.5762,0.9685,0.78268,0.9053,0.88803,0.83416,0.43255,0.51465,0.99977,0.0007228,0.0007228,0.0007228
44,258.602,0.39699,0.5821,0.96126,0.73906,0.84981,0.88821,0.82264,0.40624,0.56095,0.94198,0.0007162,0.0007162,0.0007162
45,264.403,0.38939,0.57298,0.95639,0.82441,0.8902,0.90922,0.86043,0.37695,0.43229,0.93007,0.0007096,0.0007096,0.0007096
46,270.232,0.38724,0.55325,0.96496,0.77896,0.85503,0.89822,0.83711,0.37814,0.53119,0.93226,0.000703,0.000703,0.000703
47,276.02,0.40688,0.55837,0.97907,0.84586,0.87536,0.90346,0.83826,0.38834,0.45599,0.93878,0.0006964,0.0006964,0.0006964
48,281.807,0.40493,0.52543,0.9751,0.81248,0.94897,0.91231,0.85472,0.38751,0.46434,0.94853,0.0006898,0.0006898,0.0006898
49,287.595,0.39327,0.55295,0.97104,0.76476,0.90729,0.88406,0.83064,0.36982,0.57862,0.93927,0.0006832,0.0006832,0.0006832
50,293.408,0.35969,0.47812,0.95538,0.92279,0.86385,0.89563,0.83568,0.35784,0.43906,0.91147,0.0006766,0.0006766,0.0006766
51,299.208,0.38033,0.5391,0.95133,0.81596,0.91165,0.93642,0.87925,0.38079,0.4585,0.94348,0.00067,0.00067,0.00067
52,305.032,0.36553,0.5156,0.96093,0.79042,0.92784,0.94112,0.88803,0.38326,0.45389,0.95216,0.0006634,0.0006634,0.0006634
53,310.874,0.38691,0.50675,0.96687,0.92158,0.96091,0.97595,0.92421,0.38016,0.42467,0.9326,0.0006568,0.0006568,0.0006568
54,316.837,0.38128,0.53802,0.96589,0.65781,0.91172,0.86928,0.81551,0.37244,0.59733,0.9313,0.0006502,0.0006502,0.0006502
55,322.606,0.39365,0.5623,0.96204,0.7433,0.87738,0.87697,0.82842,0.37397,0.64515,0.94259,0.0006436,0.0006436,0.0006436
56,328.415,0.35145,0.50586,0.95488,0.86711,0.81864,0.88492,0.82985,0.37916,0.54343,0.96285,0.000637,0.000637,0.000637
